74;69;85;73;77;86;78;66;67;70;71;83;75;74;164;159;175;163;167;176;168;82;77;172;167;92;87;86;176;100;96;81;171;95;91;96;90;180;104;100;88;82;172;96;92;156;157;160;161;173;165;164;74;75;164;165;84;85;78;79;168;169;92;93;88;89;154;149;165;153;157;166;158;146;147;150;151;163;155;154;
162;168;166;168;167;160;161;180;169;180;169;167;168;179;72;78;76;78;77;70;71;164;170;74;80;94;100;166;76;93;96;172;82;99;102;90;162;72;89;92;91;163;73;90;93;90;79;90;79;77;78;89;182;171;92;81;112;101;184;173;94;83;111;100;114;103;152;158;156;158;157;150;151;170;159;170;159;157;158;169;
max x = 180
max y = 184
min x = 66
min y = 70
