15.1;0.47;0.1645
15.2;0.71;0.2478
15.3;7.51;  0.9908
17.1;0.84;0.2334
17.2;2.89;0.8821
17.3;12.58;1.2502
20.1;1.54;0.4455
20.2;3.73; 0.9732
20.3;20.66;2.1007
22.1;1.53;0.3139
22.2;5.41;1.4613
22.3;27.01;3.4521
25.1;1.5;0.3516
25.2;13.34;1.9295
25.3;46.45;4.5789
27.1;5.38;1.2399
27.2;17.44;3.6969
27.3;49.25;4.6838
30.1;8.41;1.5051
30.2;38.91;6.0159
30.3;89.36;7.9327
33.1;16;2.3837
33.2;61.21;9.9143
33.3;94.12;12.1014
35.1;28.98;2.2660
35.2;73.43;11.1601
35.3;134.96;13.7568
38.1;28.13;2.7610
38.2;102.89;9.4535
38.3;194.96;14.7756
40.1;63.77;3.2781
40.2;138.79; 12.9237
40.3;230.32;16.8341
42.1;101.87;3.4873
42.2;224.87;13.4436
42.3;228.65;20.7324
45.1;177.56;6.5303
45.2;260.92;12.2080
45.3;363.18;25.5154
48.1;169.07;6.0404
48.2;403.21;18.4052
48.3;442.37;31.5516
50.1;260.68;8.1677
50.2;404.52;19.9057
50.3;497.97;34.8007
