12.1;6;10;12;55;55;55;48;80;80
12.2;8;13;14;9;9;9;19;21;22
12.3;3;5;6;2;2;2;39;42;44
15.1;0;0;0;37;41;44;35;41;44
15.2;0;0;0;15;15;15;10;11;13
15.3;0;0;0;8;8;8;34;38;40
17.1;0;0;0;59;59;59;15;19;21
17.2;0;0;0;22;24;26;20;22;23
17.3;0;0;0;7;7;7;23;25;26
20.1;0;0;0;28;36;42;19;21;22
20.2;0;0;0;18;22;23;13;15;16
20.3;0;0;0;9;9;10;12;14;15
22.1;0;0;0;21;24;27;13;14;16
22.2;0;0;0;28;31;33;19;22;23
22.3;0;0;0;4;5;6;5;7;8
25.1;0;0;0;11;12;13;15;17;18
25.2;0;0;0;17;19;21;8;9;10
25.3;0;0;0;8;8;8;10;12;12
27.1;0;0;0;15;17;18;14;15;16
27.2;0;0;0;8;9;9;3;5;5
27.3;0;0;0;9;10;10;9;10;10
30.1;0;0;0;4;6;6;4;5;5
30.2;0;0;0;10;11;11;3;4;5
30.3;0;0;0;7;8;9;6;7;8
33.1;0;0;0;7;8;8;5;7;8
33.2;0;0;0;15;16;17;4;4;5
33.3;0;0;0;0;0;0;3;4;4
35.1;0;0;0;11;12;13;4;5;6
35.2;0;0;0;2;3;3;3;4;5
35.3;0;0;0;4;5;5;0;0;0
38.1;0;0;0;0;1;1;0;0;0
38.2;0;0;0;2;3;3;5;6;6
38.3;0;0;0;2;3;3;7;7;8
40.1;0;0;0;1;2;2;1;1;2
40.2;0;0;0;0;1;1;0;0;0
40.3;0;0;0;4;6;6;0;0;0
42.1;0;0;0;0;0;0;0;0;1
42.2;0;0;0;0;1;1;2;3;3
42.3;0;0;0;4;5;5;0;0;0
45.1;0;0;0;0;0;0;0;0;0
45.2;0;0;0;0;0;0;0;0;0
45.3;0;0;0;0;0;0;0;1;1
48.1;0;0;0;0;0;0;0;0;0
48.2;0;0;0;0;0;0;0;0;1
48.3;0;0;0;0;0;0;0;0;0
50.1;0;0;0;0;0;0;0;0;0
50.2;0;0;0;0;0;0;0;0;0
50.3;0;0;0;0;0;0;0;0;0
