15.1;0.8;0.07;0.47;0.0545;0.0684;0.1645
15.2;0.77;0.02;0.71;0.0669;0.0560;0.2478
15.3;1.24;0.01;7.51;0.0610;0.0527;  0.9908
17.1;1.34;0.1;0.84;0.0589;0.0715;0.2334
17.2;1.06;0.06;2.89;0.0767;0.0609;0.8821
17.3;1.01;0.01;12.58;0.0623;0.0519;1.2502
20.1;2.76;0.18;1.54;0.0591;0.0811;0.4455
20.2;1.86;0.08;3.73;0.0668;0.0560; 0.9732
20.3;2.36;0.02;20.66;0.0809;0.0528;2.1007
22.1;3;0.32;1.53;0.0647;0.1039;0.3139
22.2;3.07;0.17;5.41;0.0813;0.0679;1.4613
22.3;2.38;0.02;27.01;0.0693;0.0525;3.4521
25.1;7.21;0.91;1.5;0.0626;0.1594;0.3516
25.2;8.17;0.33;13.34;0.0908;0.0829;1.9295
25.3;5.79;0.04;46.45;0.1247;0.0534;4.5789
27.1;12.34;2.02;5.38;0.0660;0.2603;1.2399
27.2;5.38;0.71;17.44;74;0.1030;3.6969
27.3;11.08;0.08;49.25;0.0883;0.0602;4.6838
30.1;15.84;2.47;8.41;0.0637;0.1875;1.5051
30.2;19.07;1.17;38.91;0.0886;0.1021;6.0159
30.3;18.06;0.34;89.36;0.1135;0.0548;7.9327
33.1;23.54;2.92;16;0.0741;0.2989;2.3837
33.2;25.03;2.24;61.21;0.0784;0.1417;9.9143
33.3;26.77;0.59;94.12;0.1452;0.0590;12.1014
35.1;35.1;5.88;28.98;0.1013;0.4234;2.2660
35.2;39.88;2.78;73.43;0.0804;0.1677;11.1601
35.3;53.24;0.3;134.96;0.1249;0.0571;13.7568
38.1;46.82;7.02;28.13;0.1307;0.2371;2.7610
38.2;47.48;7.44;102.89;0.1710;0.2039;9.4535
38.3;41.06;1.4;194.96;0.2480;0.0691;14.7756
40.1;37.69;10.49;63.77;0.0277;0.3208;3.2781
40.2;42.08;8.31;138.79;0.0936;0.2291; 12.9237
40.3;78.91;2.47;230.32;0.1395;0.0698;16.8341
42.1;98.55;17.99;101.87;0.1656;0.4359;3.4873
42.2;66.19;11.77;224.87;0.1097;0.2905;13.4436
42.3;67.06;3.66;228.65;0.1492;0.0738;20.7324
45.1;66.17;35.9;177.56;0.0430;0.4884;6.5303
45.2;103.53;21.8;260.92;0.1446;0.3185;12.2080
45.3;146.15;1.74;363.18;0.2426;0.0738;25.5154
48.1;38.52;27.68;169.07;0.0828;0.6164;6.0404
48.2;83.47;29.32;403.21;0.1239;0.2570;18.4052
48.3;172.97;4.17;442.37;0.2138;0.0808;31.5516
50.1;124.1;53.49;260.68;0.1505;1.0524;8.1677
50.2;168.73;27.95;404.52;0.2753;0.2167;19.9057
50.3;155.6;11.83;497.97;0.5557;0.0840;34.8007
