25.2;8.17;0.0908
25.3;5.79;0.1247
27.1;12.34;0.0660
27.2;5.38;0 .074
27.3;11.08;0.0883
30.1;15.84;0.0637
30.2;19.07;0.0886
30.3;18.06;0.1135
33.1;23.54;0.0741
33.2;25.03;0.0784
33.3;26.77;0.1452
35.1;35.1;0.1013
35.2;39.88;0.0804
35.3;53.24;0.1249
38.1;46.82;0.1307
38.2;47.48;0.1710
38.3;41.06;0.2480
40.1;37.69;0.0277
40.2;42.08;0.0936
40.3;78.91;0.1395
42.1;98.55;0.1656
42.2;66.19;0.1097
42.3;67.06;0.1492
45.1;66.17;0.0430
45.2;103.53;0.1446
45.3;146.15;0.2426
48.1;38.52;0.0828
48.2;83.47;0.1239
48.3;172.97;0.2138
50.1;124.1;0.1505
50.2;168.73;0.2753
50.3;155.6;0.5557
