RESULTADO AO FIM DE 1H
Arvore 1
0 21 84 14 9
1 2 97 44 5
1 10 51 24 14
1 21 94 16 5
2 8 73 47 17
2 17 86 9 9
3 5 65 27 9
3 9 83 3 6
3 17 96 49 13
4 16 61 8 13
6 13 84 12 11
6 16 44 75 14
7 15 78 68 11
8 11 71 34 15
8 18 62 65 15
10 15 99 49 26
12 18 92 19 14
13 21 98 75 7
14 16 85 37 6
17 19 52 14 10
19 20 62 31 7
(1617, 720, 236)

RESULTADO AO FIM DE 2H
Arvore 1
0 21 84 14 9
1 2 97 44 5
1 10 51 24 14
1 21 94 16 5
2 8 73 47 17
2 17 86 9 9
3 5 65 27 9
3 9 83 3 6
3 17 96 49 13
4 16 61 8 13
6 13 84 12 11
6 16 44 75 14
7 15 78 68 11
8 11 71 34 15
8 18 62 65 15
10 15 99 49 26
12 18 92 19 14
13 21 98 75 7
14 16 85 37 6
17 19 52 14 10
19 20 62 31 7
(1617, 720, 236)

Arvore 2
0 21 84 14 9
1 2 97 44 5
1 10 51 24 14
1 21 94 16 5
2 8 73 47 17
2 17 86 9 9
3 5 65 27 9
3 9 83 3 6
3 17 96 49 13
4 16 61 8 13
6 13 84 12 11
6 16 44 75 14
7 15 78 68 11
8 11 71 34 15
8 18 62 65 15
12 18 92 19 14
13 15 26 49 27
13 21 98 75 7
14 16 85 37 6
17 19 52 14 10
19 20 62 31 7
(1544, 720, 237)

RESULTADO AO FIM DE 3H
TEMPO LIMITE ATINGIDO...
Arvore 1
0 21 84 14 9
1 2 97 44 5
1 10 51 24 14
1 21 94 16 5
2 8 73 47 17
2 17 86 9 9
3 5 65 27 9
3 9 83 3 6
3 17 96 49 13
4 16 61 8 13
6 13 84 12 11
6 16 44 75 14
7 15 78 68 11
8 11 71 34 15
8 18 62 65 15
10 15 99 49 26
12 18 92 19 14
13 21 98 75 7
14 16 85 37 6
17 19 52 14 10
19 20 62 31 7
(1617, 720, 236)

Arvore 2
0 21 84 14 9
1 2 97 44 5
1 10 51 24 14
1 21 94 16 5
2 8 73 47 17
2 17 86 9 9
3 5 65 27 9
3 9 83 3 6
3 17 96 49 13
4 16 61 8 13
6 13 84 12 11
6 16 44 75 14
7 15 78 68 11
8 11 71 34 15
8 18 62 65 15
12 18 92 19 14
13 15 26 49 27
13 21 98 75 7
14 16 85 37 6
17 19 52 14 10
19 20 62 31 7
(1544, 720, 237)

