RESULTADO AO FIM DE 1H
Arvore 1
0 2 92 20 7
0 19 99 9 5
1 4 96 12 7
1 18 90 17 15
2 11 97 8 9
2 15 96 11 8
3 16 95 6 12
4 8 78 30 21
4 13 97 4 8
5 13 89 13 18
6 8 88 19 14
7 18 96 17 11
9 13 90 9 12
10 13 94 5 16
11 14 92 17 13
12 17 84 13 15
12 19 97 14 7
13 19 95 17 8
16 18 96 8 13
(1761, 249, 219)

Arvore 2
0 2 92 20 7
0 19 99 9 5
1 4 96 12 7
1 18 90 17 15
2 11 97 8 9
2 15 96 11 8
3 16 95 6 12
4 8 78 30 21
4 13 97 4 8
5 13 89 13 18
6 8 88 19 14
7 18 96 17 11
9 13 90 9 12
10 13 94 5 16
11 14 92 17 13
12 13 94 19 8
12 17 84 13 15
12 19 97 14 7
16 18 96 8 13
(1760, 251, 219)

Arvore 3
0 2 92 20 7
0 19 99 9 5
1 4 96 12 7
2 11 97 8 9
2 15 96 11 8
3 16 95 6 12
4 8 78 30 21
4 13 97 4 8
5 13 89 13 18
6 8 88 19 14
7 15 85 18 16
7 18 96 17 11
9 13 90 9 12
10 13 94 5 16
11 14 92 17 13
12 17 84 13 15
12 19 97 14 7
13 19 95 17 8
16 18 96 8 13
(1756, 250, 220)

RESULTADO AO FIM DE 2H
Arvore 1
0 2 92 20 7
0 19 99 9 5
1 4 96 12 7
1 18 90 17 15
2 11 97 8 9
2 15 96 11 8
3 16 95 6 12
4 8 78 30 21
4 13 97 4 8
5 13 89 13 18
6 8 88 19 14
7 18 96 17 11
9 13 90 9 12
10 13 94 5 16
11 14 92 17 13
12 17 84 13 15
12 19 97 14 7
13 19 95 17 8
16 18 96 8 13
(1761, 249, 219)

Arvore 2
0 2 92 20 7
0 19 99 9 5
1 4 96 12 7
1 18 90 17 15
2 11 97 8 9
2 15 96 11 8
3 16 95 6 12
4 8 78 30 21
4 13 97 4 8
5 13 89 13 18
6 8 88 19 14
7 18 96 17 11
9 13 90 9 12
10 13 94 5 16
11 14 92 17 13
12 13 94 19 8
12 17 84 13 15
12 19 97 14 7
16 18 96 8 13
(1760, 251, 219)

Arvore 3
0 2 92 20 7
0 19 99 9 5
1 4 96 12 7
2 11 97 8 9
2 15 96 11 8
3 16 95 6 12
4 8 78 30 21
4 13 97 4 8
5 13 89 13 18
6 8 88 19 14
7 15 85 18 16
7 18 96 17 11
9 13 90 9 12
10 13 94 5 16
11 14 92 17 13
12 17 84 13 15
12 19 97 14 7
13 19 95 17 8
16 18 96 8 13
(1756, 250, 220)

Arvore 4
0 2 92 20 7
0 19 99 9 5
1 4 96 12 7
2 11 97 8 9
2 15 96 11 8
3 16 95 6 12
4 8 78 30 21
4 13 97 4 8
5 13 89 13 18
6 8 88 19 14
7 15 85 18 16
7 18 96 17 11
9 13 90 9 12
10 13 94 5 16
11 14 92 17 13
12 13 94 19 8
12 17 84 13 15
12 19 97 14 7
16 18 96 8 13
(1755, 252, 220)

RESULTADO AO FIM DE 3H
TEMPO LIMITE ATINGIDO...
Arvore 1
0 2 92 20 7
0 19 99 9 5
1 4 96 12 7
1 18 90 17 15
2 11 97 8 9
2 15 96 11 8
3 16 95 6 12
4 8 78 30 21
4 13 97 4 8
5 13 89 13 18
6 8 88 19 14
7 18 96 17 11
9 13 90 9 12
10 13 94 5 16
11 14 92 17 13
12 17 84 13 15
12 19 97 14 7
13 19 95 17 8
16 18 96 8 13
(1761, 249, 219)

Arvore 2
0 2 92 20 7
0 19 99 9 5
1 4 96 12 7
1 18 90 17 15
2 11 97 8 9
2 15 96 11 8
3 16 95 6 12
4 8 78 30 21
4 13 97 4 8
5 13 89 13 18
6 8 88 19 14
7 18 96 17 11
9 13 90 9 12
10 13 94 5 16
11 14 92 17 13
12 13 94 19 8
12 17 84 13 15
12 19 97 14 7
16 18 96 8 13
(1760, 251, 219)

Arvore 3
0 2 92 20 7
0 19 99 9 5
1 4 96 12 7
2 11 97 8 9
2 15 96 11 8
3 16 95 6 12
4 8 78 30 21
4 13 97 4 8
5 13 89 13 18
6 8 88 19 14
7 15 85 18 16
7 18 96 17 11
9 13 90 9 12
10 13 94 5 16
11 14 92 17 13
12 17 84 13 15
12 19 97 14 7
13 19 95 17 8
16 18 96 8 13
(1756, 250, 220)

Arvore 4
0 2 92 20 7
0 19 99 9 5
1 4 96 12 7
2 11 97 8 9
2 15 96 11 8
3 16 95 6 12
4 8 78 30 21
4 13 97 4 8
5 13 89 13 18
6 8 88 19 14
7 15 85 18 16
7 18 96 17 11
9 13 90 9 12
10 13 94 5 16
11 14 92 17 13
12 13 94 19 8
12 17 84 13 15
12 19 97 14 7
16 18 96 8 13
(1755, 252, 220)

Arvore 5
0 2 92 20 7
0 19 99 9 5
1 4 96 12 7
1 10 80 23 17
1 18 90 17 15
2 11 97 8 9
2 15 96 11 8
3 16 95 6 12
4 8 78 30 21
4 13 97 4 8
5 13 89 13 18
6 8 88 19 14
7 18 96 17 11
9 13 90 9 12
11 14 92 17 13
12 17 84 13 15
12 19 97 14 7
13 19 95 17 8
16 18 96 8 13
(1747, 267, 220)

