60;0,21;4,3;0,0701;4,1126
63;0,04;4,64;0,0602;3,2605
66;0,06;5,51;0,0698;4,5812
68;0,06;4,78;0,0699;1,9109
70;0,12;8,98;0,0725;6,5888
75;0,34;8,07;0,0875;5,8326
77;0,3;8,92;0,0875;9,8286
80;0,18;13,16;0,0865;10,7651
82;0,06;5,18;0,0671;5,1546
86;0,05;8,54;0,0722;4,9191
90;0,76;25,97;0,1347;27,7057
93;0,14;11,2;0,0783;10,2247
96;0,21;8,53;0,0843;7,04
100;0,29;27,16;0,0903;24,5149
