Fim da primeira fase ... 
0.03
Fim da segunda fase ... 
136210
1362.1
Total: 1362.13
Suportadas = 132
Nao suportadas = 2182
TOTAL DE SOLUCOES = 2314

SUPORTADAS: 

Arvore 1
8 44 0 52
34 38 0 76
28 36 0 80
32 39 0 81
10 18 0 86
7 27 0 88
2 15 0 97
34 44 0 97
29 40 1 52
33 42 1 56
34 46 1 59
31 41 1 60
20 40 1 61
10 11 1 63
21 37 1 73
6 47 1 78
10 25 1 78
4 20 1 79
13 30 1 85
11 24 1 91
4 6 2 49
25 32 2 49
36 48 2 49
21 40 2 56
12 18 2 59
27 30 2 59
26 41 2 63
24 41 2 64
8 14 2 65
9 23 2 67
12 40 2 67
7 10 2 85
20 49 2 85
3 23 2 88
22 25 2 92
23 28 2 92
14 43 3 66
25 38 3 83
1 42 3 86
12 19 3 89
0 43 3 90
3 47 3 94
33 43 4 52
5 31 4 53
35 45 4 82
35 41 5 56
6 15 5 67
17 40 7 74
16 23 7 94
(98 3567)

Arvore 2
8 44 0 52
34 38 0 76
28 36 0 80
32 39 0 81
10 18 0 86
29 40 1 52
7 27 0 88
33 42 1 56
34 46 1 59
31 41 1 60
20 40 1 61
2 15 0 97
34 44 0 97
10 11 1 63
21 37 1 73
6 47 1 78
10 25 1 78
4 20 1 79
4 6 2 49
25 32 2 49
36 48 2 49
13 30 1 85
21 40 2 56
11 24 1 91
12 18 2 59
27 30 2 59
26 41 2 63
24 41 2 64
8 14 2 65
9 23 2 67
12 40 2 67
7 10 2 85
20 49 2 85
3 23 2 88
22 25 2 92
23 28 2 92
14 43 3 66
25 38 3 83
1 42 3 86
33 43 4 52
5 31 4 53
12 19 3 89
0 43 3 90
3 47 3 94
35 45 4 82
35 41 5 56
6 15 5 67
17 40 7 74
16 49 8 56
(99 3529)

Arvore 3
8 44 0 52
34 38 0 76
28 36 0 80
32 39 0 81
29 40 1 52
10 18 0 86
7 27 0 88
33 42 1 56
34 46 1 59
31 41 1 60
20 40 1 61
10 11 1 63
2 15 0 97
34 44 0 97
21 37 1 73
6 47 1 78
10 25 1 78
4 20 1 79
4 6 2 49
25 32 2 49
36 48 2 49
13 30 1 85
21 40 2 56
11 24 1 91
12 18 2 59
27 30 2 59
26 41 2 63
24 41 2 64
8 14 2 65
9 23 2 67
12 40 2 67
7 10 2 85
20 49 2 85
3 23 2 88
22 25 2 92
23 28 2 92
14 43 3 66
25 38 3 83
33 43 4 52
1 42 3 86
5 31 4 53
12 19 3 89
0 29 4 56
3 47 3 94
35 45 4 82
35 41 5 56
6 15 5 67
17 40 7 74
16 49 8 56
(100 3495)

Arvore 4
8 44 0 52
29 40 1 52
33 42 1 56
34 38 0 76
34 46 1 59
31 41 1 60
28 36 0 80
20 40 1 61
32 39 0 81
10 11 1 63
10 18 0 86
4 6 2 49
25 32 2 49
36 48 2 49
7 27 0 88
21 37 1 73
21 40 2 56
2 15 0 97
34 44 0 97
6 47 1 78
10 25 1 78
12 18 2 59
27 30 2 59
4 20 1 79
26 41 2 63
24 41 2 64
8 14 2 65
13 30 1 85
9 23 2 67
12 40 2 67
11 24 1 91
7 10 2 85
20 49 2 85
14 43 3 66
3 23 2 88
33 43 4 52
5 31 4 53
22 25 2 92
23 28 2 92
0 29 4 56
19 40 4 56
25 38 3 83
1 42 3 86
3 47 3 94
35 41 5 56
35 45 4 82
6 15 5 67
17 40 7 74
16 49 8 56
(101 3462)

Arvore 5
8 44 0 52
29 40 1 52
33 42 1 56
34 46 1 59
31 41 1 60
34 38 0 76
20 40 1 61
10 11 1 63
28 36 0 80
4 6 2 49
25 32 2 49
36 48 2 49
32 39 0 81
10 18 0 86
21 40 2 56
7 27 0 88
21 37 1 73
12 18 2 59
27 30 2 59
6 47 1 78
10 25 1 78
26 41 2 63
4 20 1 79
24 41 2 64
8 14 2 65
2 15 0 97
34 44 0 97
9 23 2 67
12 40 2 67
13 30 1 85
11 24 1 91
14 43 3 66
33 43 4 52
5 31 4 53
7 10 2 85
20 49 2 85
0 29 4 56
19 40 4 56
3 23 2 88
22 25 2 92
23 28 2 92
25 38 3 83
1 42 3 86
35 41 5 56
1 36 4 77
35 45 4 82
6 15 5 67
16 49 8 56
17 40 7 74
(102 3445)

Arvore 6
8 44 0 52
29 40 1 52
33 42 1 56
34 46 1 59
31 41 1 60
20 40 1 61
4 6 2 49
25 32 2 49
36 48 2 49
34 38 0 76
10 11 1 63
28 36 0 80
32 39 0 81
21 40 2 56
12 18 2 59
27 30 2 59
10 18 0 86
21 37 1 73
7 27 0 88
26 41 2 63
24 41 2 64
6 47 1 78
10 25 1 78
8 14 2 65
4 20 1 79
9 23 2 67
12 40 2 67
2 15 0 97
34 44 0 97
13 30 1 85
11 24 1 91
33 43 4 52
14 43 3 66
5 31 4 53
0 29 4 56
19 40 4 56
7 10 2 85
20 49 2 85
3 23 2 88
22 25 2 92
23 28 2 92
35 41 5 56
25 38 3 83
1 42 3 86
9 47 6 47
6 15 5 67
35 45 4 82
16 49 8 56
17 40 7 74
(104 3415)

Arvore 7
8 44 0 52
29 40 1 52
33 42 1 56
34 46 1 59
31 41 1 60
4 6 2 49
25 32 2 49
36 48 2 49
20 40 1 61
10 11 1 63
34 38 0 76
21 40 2 56
28 36 0 80
32 39 0 81
12 18 2 59
27 30 2 59
21 37 1 73
10 18 0 86
26 41 2 63
24 41 2 64
7 27 0 88
8 14 2 65
6 47 1 78
10 25 1 78
9 23 2 67
12 40 2 67
4 20 1 79
13 30 1 85
2 15 0 97
34 44 0 97
33 43 4 52
5 31 4 53
14 43 3 66
11 24 1 91
0 29 4 56
19 40 4 56
7 37 4 61
20 49 2 85
3 23 2 88
35 41 5 56
22 25 2 92
23 28 2 92
9 47 6 47
25 38 3 83
1 42 3 86
6 15 5 67
35 45 4 82
16 49 8 56
17 40 7 74
(106 3391)

Arvore 8
8 44 0 52
29 40 1 52
33 42 1 56
4 6 2 49
25 32 2 49
36 48 2 49
34 46 1 59
31 41 1 60
20 40 1 61
10 11 1 63
21 40 2 56
34 38 0 76
12 18 2 59
27 30 2 59
28 36 0 80
32 39 0 81
26 41 2 63
21 37 1 73
24 41 2 64
8 14 2 65
10 18 0 86
9 23 2 67
12 40 2 67
6 47 1 78
10 25 1 78
7 27 0 88
4 20 1 79
33 43 4 52
5 31 4 53
13 30 1 85
0 29 4 56
19 40 4 56
14 43 3 66
2 15 0 97
34 44 0 97
7 37 4 61
11 24 1 91
20 49 2 85
35 41 5 56
9 47 6 47
34 49 6 48
3 23 2 88
22 25 2 92
23 28 2 92
1 42 3 86
6 15 5 67
35 45 4 82
16 49 8 56
17 40 7 74
(109 3356)

Arvore 9
8 44 0 52
29 40 1 52
33 42 1 56
4 6 2 49
25 32 2 49
36 48 2 49
34 46 1 59
31 41 1 60
20 40 1 61
10 11 1 63
21 40 2 56
34 38 0 76
12 18 2 59
27 30 2 59
28 36 0 80
26 41 2 63
32 39 0 81
24 41 2 64
21 37 1 73
8 14 2 65
9 23 2 67
12 40 2 67
10 18 0 86
33 43 4 52
6 47 1 78
10 25 1 78
6 39 2 70
5 31 4 53
7 27 0 88
0 29 4 56
19 40 4 56
14 43 3 66
13 30 1 85
7 37 4 61
2 15 0 97
34 44 0 97
9 47 6 47
35 41 5 56
11 24 1 91
34 49 6 48
20 49 2 85
3 23 2 88
22 25 2 92
23 28 2 92
6 15 5 67
1 36 4 77
35 45 4 82
16 49 8 56
17 40 7 74
(111 3338)

Arvore 10
8 44 0 52
29 40 1 52
33 42 1 56
4 6 2 49
25 32 2 49
36 48 2 49
34 46 1 59
31 41 1 60
20 40 1 61
10 11 1 63
21 40 2 56
12 18 2 59
27 30 2 59
34 38 0 76
26 41 2 63
24 41 2 64
8 14 2 65
28 36 0 80
21 37 1 73
32 39 0 81
33 43 4 52
9 23 2 67
12 40 2 67
5 31 4 53
6 39 2 70
6 47 1 78
10 25 1 78
0 29 4 56
19 40 4 56
10 18 0 86
7 27 0 88
14 43 3 66
7 37 4 61
9 47 6 47
13 30 1 85
34 49 6 48
35 41 5 56
2 15 0 97
34 44 0 97
6 49 5 60
11 24 1 91
3 23 2 88
6 15 5 67
1 36 4 77
22 25 2 92
23 28 2 92
35 45 4 82
16 49 8 56
17 40 7 74
(114 3313)

Arvore 11
8 44 0 52
29 40 1 52
4 6 2 49
25 32 2 49
36 48 2 49
33 42 1 56
34 46 1 59
31 41 1 60
20 40 1 61
21 40 2 56
10 11 1 63
12 18 2 59
27 30 2 59
34 38 0 76
26 41 2 63
24 41 2 64
8 14 2 65
33 43 4 52
21 37 1 73
28 36 0 80
5 31 4 53
9 23 2 67
12 40 2 67
32 39 0 81
19 29 5 49
0 29 4 56
6 39 2 70
6 47 1 78
10 25 1 78
4 20 1 79
14 43 3 66
7 27 0 88
9 47 6 47
7 37 4 61
34 49 6 48
35 41 5 56
13 30 1 85
6 49 5 60
2 15 0 97
34 44 0 97
11 24 1 91
6 15 5 67
3 23 2 88
1 36 4 77
9 22 5 71
23 28 2 92
35 45 4 82
16 49 8 56
17 40 7 74
(119 3278)

Arvore 12
8 44 0 52
29 40 1 52
4 6 2 49
25 32 2 49
36 48 2 49
33 42 1 56
34 46 1 59
31 41 1 60
20 40 1 61
21 40 2 56
10 11 1 63
12 18 2 59
27 30 2 59
34 38 0 76
26 41 2 63
24 41 2 64
8 14 2 65
33 43 4 52
21 37 1 73
5 31 4 53
28 36 0 80
9 23 2 67
12 40 2 67
32 39 0 81
19 29 5 49
0 29 4 56
6 39 2 70
6 47 1 78
10 25 1 78
4 20 1 79
14 43 3 66
9 47 6 47
7 37 4 61
7 27 0 88
34 49 6 48
35 41 5 56
13 30 1 85
6 49 5 60
32 42 6 56
2 15 0 97
11 24 1 91
6 15 5 67
3 23 2 88
1 36 4 77
9 22 5 71
23 28 2 92
35 45 4 82
16 49 8 56
17 40 7 74
(125 3237)

Arvore 13
8 44 0 52
29 40 1 52
4 6 2 49
25 32 2 49
36 48 2 49
33 42 1 56
34 46 1 59
