Fim da primeira fase ... 
0.01
Fim da segunda fase ... 
45705
457.05
Total: 457.06
Suportadas = 109
Nao suportadas = 780
TOTAL DE SOLUCOES = 889

SUPORTADAS: 

Arvore 1
32 34 0 50
37 39 0 65
16 19 0 81
7 16 0 87
0 26 1 28
15 35 1 32
14 22 1 63
17 34 1 65
18 38 1 69
12 33 1 73
10 39 1 75
19 25 1 77
1 40 1 92
8 19 2 21
18 25 2 23
0 35 2 44
26 30 2 49
7 33 2 53
30 39 2 53
1 2 2 56
2 29 2 63
15 33 2 84
4 16 2 97
7 41 2 97
2 31 3 34
3 30 3 46
10 29 3 53
21 37 3 54
34 40 3 80
32 36 3 83
0 14 4 38
1 13 4 49
22 28 4 70
2 27 5 21
24 39 5 67
3 20 6 64
4 11 6 87
2 5 6 98
9 30 7 23
6 26 7 51
23 28 8 94
(111 2509)

Arvore 2
32 34 0 50
37 39 0 65
0 26 1 28
16 19 0 81
15 35 1 32
7 16 0 87
14 22 1 63
17 34 1 65
18 38 1 69
12 33 1 73
8 19 2 21
10 39 1 75
18 25 2 23
19 25 1 77
1 40 1 92
0 35 2 44
26 30 2 49
7 33 2 53
30 39 2 53
1 2 2 56
2 29 2 63
15 33 2 84
2 31 3 34
4 16 2 97
7 41 2 97
3 30 3 46
10 29 3 53
21 37 3 54
34 40 3 80
32 36 3 83
0 14 4 38
1 13 4 49
22 28 4 70
2 27 5 21
24 39 5 67
3 20 6 64
9 30 7 23
4 11 6 87
2 5 6 98
6 26 7 51
12 23 9 27
(112 2442)

Arvore 3
32 34 0 50
37 39 0 65
0 26 1 28
15 35 1 32
16 19 0 81
7 16 0 87
14 22 1 63
17 34 1 65
8 19 2 21
18 25 2 23
18 38 1 69
12 33 1 73
10 39 1 75
19 25 1 77
0 35 2 44
1 40 1 92
26 30 2 49
7 33 2 53
30 39 2 53
1 2 2 56
2 29 2 63
2 31 3 34
15 33 2 84
3 30 3 46
4 16 2 97
7 41 2 97
10 29 3 53
21 37 3 54
19 34 4 28
32 36 3 83
0 14 4 38
1 13 4 49
2 27 5 21
22 28 4 70
24 39 5 67
3 20 6 64
9 30 7 23
4 11 6 87
6 26 7 51
2 5 6 98
12 23 9 27
(113 2390)

Arvore 4
32 34 0 50
0 26 1 28
37 39 0 65
15 35 1 32
16 19 0 81
7 16 0 87
8 19 2 21
18 25 2 23
14 22 1 63
17 34 1 65
18 38 1 69
12 33 1 73
10 39 1 75
19 25 1 77
0 35 2 44
26 30 2 49
7 33 2 53
30 39 2 53
1 40 1 92
1 2 2 56
2 29 2 63
2 31 3 34
3 30 3 46
15 33 2 84
10 29 3 53
21 37 3 54
4 16 2 97
7 41 2 97
19 34 4 28
0 14 4 38
32 36 3 83
1 13 4 49
2 27 5 21
22 28 4 70
24 39 5 67
9 30 7 23
20 35 7 26
4 11 6 87
6 26 7 51
2 5 6 98
12 23 9 27
(114 2352)

Arvore 5
32 34 0 50
0 26 1 28
15 35 1 32
37 39 0 65
8 19 2 21
18 25 2 23
16 19 0 81
7 16 0 87
14 22 1 63
17 34 1 65
0 35 2 44
18 38 1 69
12 33 1 73
26 30 2 49
10 39 1 75
19 25 1 77
7 33 2 53
30 39 2 53
1 2 2 56
2 31 3 34
2 29 2 63
1 40 1 92
3 30 3 46
19 34 4 28
10 29 3 53
21 37 3 54
15 33 2 84
0 14 4 38
1 41 4 42
2 27 5 21
4 16 2 97
1 13 4 49
32 36 3 83
22 28 4 70
24 39 5 67
9 30 7 23
20 35 7 26
6 26 7 51
4 11 6 87
2 5 6 98
12 23 9 27
(116 2297)

Arvore 6
0 26 1 28
32 34 0 50
15 35 1 32
8 19 2 21
37 39 0 65
18 25 2 23
16 19 0 81
14 22 1 63
17 34 1 65
7 16 0 87
0 35 2 44
18 38 1 69
26 30 2 49
12 33 1 73
7 33 2 53
30 39 2 53
10 39 1 75
19 25 1 77
2 31 3 34
1 2 2 56
2 29 2 63
3 30 3 46
1 40 1 92
19 34 4 28
10 29 3 53
21 37 3 54
0 14 4 38
10 17 4 40
1 41 4 42
2 27 5 21
1 13 4 49
4 16 2 97
32 36 3 83
22 28 4 70
9 30 7 23
24 39 5 67
20 35 7 26
6 26 7 51
4 11 6 87
12 23 9 27
2 5 6 98
(118 2253)

Arvore 7
0 26 1 28
15 35 1 32
32 34 0 50
8 19 2 21
18 25 2 23
37 39 0 65
0 35 2 44
14 22 1 63
16 19 0 81
17 34 1 65
26 30 2 49
2 31 3 34
18 38 1 69
7 16 0 87
7 33 2 53
30 39 2 53
12 33 1 73
1 2 2 56
10 39 1 75
19 25 1 77
19 34 4 28
2 29 2 63
3 30 3 46
10 29 3 53
21 37 3 54
0 14 4 38
2 27 5 21
10 17 4 40
1 40 1 92
1 41 4 42
1 13 4 49
4 16 2 97
32 36 3 83
22 28 4 70
9 30 7 23
20 35 7 26
16 24 6 49
6 26 7 51
12 23 9 27
4 11 6 87
2 5 6 98
(119 2235)

Arvore 8
0 26 1 28
15 35 1 32
32 34 0 50
8 19 2 21
18 25 2 23
37 39 0 65
0 35 2 44
14 22 1 63
16 19 0 81
17 34 1 65
26 30 2 49
2 31 3 34
18 38 1 69
7 33 2 53
30 39 2 53
7 16 0 87
1 2 2 56
12 33 1 73
10 39 1 75
19 25 1 77
19 34 4 28
3 30 3 46
2 29 2 63
10 29 3 53
21 37 3 54
2 27 5 21
0 14 4 38
10 17 4 40
1 41 4 42
1 40 1 92
1 13 4 49
4 16 2 97
32 36 3 83
22 28 4 70
9 30 7 23
20 35 7 26
16 24 6 49
6 26 7 51
12 23 9 27
11 37 9 37
2 5 6 98
(122 2185)

Arvore 9
0 26 1 28
15 35 1 32
8 19 2 21
32 34 0 50
18 25 2 23
37 39 0 65
0 35 2 44
2 31 3 34
14 22 1 63
26 30 2 49
17 34 1 65
16 19 0 81
7 33 2 53
30 39 2 53
18 38 1 69
1 2 2 56
19 34 4 28
7 16 0 87
12 33 1 73
3 30 3 46
10 39 1 75
19 25 1 77
2 29 2 63
2 27 5 21
0 14 4 38
10 29 3 53
21 37 3 54
10 17 4 40
1 41 4 42
1 13 4 49
1 40 1 92
9 30 7 23
4 16 2 97
20 35 7 26
32 36 3 83
22 28 4 70
16 24 6 49
6 26 7 51
12 23 9 27
11 37 9 37
5 39 10 33
(126 2120)

Arvore 10
0 26 1 28
15 35 1 32
8 19 2 21
18 25 2 23
32 34 0 50
37 39 0 65
0 35 2 44
2 31 3 34
26 30 2 49
19 34 4 28
14 22 1 63
7 33 2 53
30 39 2 53
17 34 1 65
2 27 5 21
1 2 2 56
3 30 3 46
18 38 1 69
16 19 0 81
0 14 4 38
12 33 1 73
10 17 4 40
2 29 2 63
10 39 1 75
10 29 3 53
1 41 4 42
7 16 0 87
21 37 3 54
25 41 4 43
1 13 4 49
9 30 7 23
