RESULTADO AO FIM DE 1H
RESULTADO AO FIM DE 2H
Arvore 1
0 10 6 16 12
1 8 6 9 12
1 10 8 17 11
2 11 2 6 9
2 16 0 8 7
2 24 0 8 2
3 5 7 12 11
3 9 8 20 15
3 17 2 16 14
4 16 2 6 15
4 19 2 12 3
6 13 6 15 10
7 19 4 7 9
8 12 0 14 5
10 18 15 20 15
12 13 5 13 7
12 22 0 14 5
13 19 12 10 14
14 15 5 8 5
14 23 5 17 5
15 22 2 11 6
17 18 6 19 14
20 21 3 11 13
20 23 1 11 8
(107, 300, 227)

RESULTADO AO FIM DE 3H
TEMPO LIMITE ATINGIDO...
Arvore 1
0 10 6 16 12
1 8 6 9 12
1 10 8 17 11
2 11 2 6 9
2 16 0 8 7
2 24 0 8 2
3 5 7 12 11
3 9 8 20 15
3 17 2 16 14
4 16 2 6 15
4 19 2 12 3
6 13 6 15 10
7 19 4 7 9
8 12 0 14 5
10 18 15 20 15
12 13 5 13 7
12 22 0 14 5
13 19 12 10 14
14 15 5 8 5
14 23 5 17 5
15 22 2 11 6
17 18 6 19 14
20 21 3 11 13
20 23 1 11 8
(107, 300, 227)

Arvore 2
0 10 6 16 12
1 8 6 9 12
1 10 8 17 11
2 11 2 6 9
2 16 0 8 7
2 24 0 8 2
3 5 7 12 11
3 9 8 20 15
3 17 2 16 14
4 16 2 6 15
4 19 2 12 3
5 13 17 16 16
6 13 6 15 10
7 19 4 7 9
8 12 0 14 5
12 13 5 13 7
12 22 0 14 5
13 19 12 10 14
14 15 5 8 5
14 23 5 17 5
15 22 2 11 6
17 18 6 19 14
20 21 3 11 13
20 23 1 11 8
(109, 296, 228)

